framework,control_family,control_id,category,title,criterion_text,points_of_focus,source_code_relevance,keywords,artifact_types,evidence_indicators,testing_approach,source_code_signal,severity
SOC2,CC7,CC7.3,System Operations,Security Incident Evaluation and Classification,"The entity evaluates security events to determine whether they could or have resulted in a failure of the entity to meet its objectives (security incidents) and, if so, takes actions to prevent or address such failures.",Evaluates security events using defined classification criteria|Identifies whether a security event constitutes a security incident|Applies a defined incident classification tier to prioritize response|Communicates identified incidents to appropriate parties|Captures sufficient context in event records to support incident classification,"Look for: incident classification logic, severity tier constants, escalation code in exception handlers, PagerDuty/Opsgenie integration, error severity mapping.",incident|severity_tier|escalate|pagerduty|opsgenie|critical_alert|error_classification|sentry|exception_handler|incident_response,source_code|config,severity: 'critical'|pagerduty.trigger|opsgenie|escalate_incident|catch(SecurityException)|incident_response|sentry.captureException|SEVERITY_LEVELS,"Confirm error handlers classify security failures distinctly, critical errors trigger external alerting integration, severity tier constants are defined in code.",medium,high
SOC2,CC7,CC7.4,System Operations,Incident Response Procedures,The entity responds to identified security incidents by: executing an incident response program; communicating with affected parties; performing root cause analysis; and implementing remediation to prevent future incidents.,Assigns roles and responsibilities for incident response|Communicates incident status and response actions to affected parties|Executes defined incident response procedures including containment and eradication|Performs root cause analysis after incident resolution|Implements changes to prevent recurrence of security incidents,"Low signal in raw source code. May find incident runbook docs, notification webhook code, post-mortem templates, or automated remediation scripts in repo.",incident_response|runbook|postmortem|remediation|notify|webhook|breach_notification|on_call|escalation_path,source_code|config,RUNBOOK.md|incident_response.md|postmortem|notifySecurityTeam|breach_notification|remediation_script|webhook_url|on_call,"Check for incident runbook documentation in repo, webhook/notification code for security events, automated remediation scripts.",low,high
SOC2,CC7,CC7.5,System Operations,Incident Recovery and Post-Incident Activity,"The entity identifies, develops, and implements activities to recover from identified security incidents and improve the information security program to prevent future incidents.",Executes defined recovery procedures to restore systems to normal operation|Tests and validates recovery procedures periodically|Communicates post-incident lessons learned to improve controls|Implements improvements identified through post-incident review|Maintains backup and restoration capabilities to support recovery,"Look for: backup and recovery configs, health check endpoints, database backup schedules in IaC, restore scripts, availability probe configs, DR runbooks.",backup|restore|recovery|health_check|liveness_probe|readiness_probe|snapshot|backup_retention|disaster_recovery|rto|rpo,source_code|config,app.get('/health'|/readyz|/livez|backup_retention_period|preferred_backup_window|restore_from_snapshot|multi_az: true|replica_region|DR_RUNBOOK,"Confirm health check endpoint exists, backup retention config is present in IaC, restore procedure documented or scripted in repo.",medium,high
SOC2,CC8,CC8.1,Change Management,Authorized and Tested System Changes,"The entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its change management objectives.",Manages changes through a defined change management process|Authorizes changes before implementation including patches and updates|Tests system changes prior to deployment using defined testing procedures|Tracks and approves infrastructure-as-code changes through version control|Deploys to production only through authorized automated pipelines|Prevents unauthorized access to program source code,"Look for: branch protection requiring PR approvals, CI/CD pipeline definitions with required test and scan gates, environment promotion requiring approval, version tagging, code owner rules.",branch_protection|pull_request|code_review|required_approvals|ci_cd|pipeline|github_actions|workflow|deploy_gate|environment_promotion|codeowners,source_code|config,required_approving_review_count: 1|require_code_owner_reviews|on: pull_request|jobs: test|needs: test|environment: production|approval_required|CODEOWNERS,"Confirm branch protection enforces >= 1 reviewer, CI workflow has test step that must pass before deploy, production environment has manual approval gate.",high,high
SOC2,CC9,CC9.1,Risk Mitigation,Business Disruption Risk Mitigation,"The entity identifies, selects, and develops risk mitigation activities for risks arising from potential business disruptions.",Considers options for risk mitigation for risks arising from business disruption|Implements controls to reduce the impact of business disruption events|Maintains and tests contingency plans to recover from disruptions|Implements resilience patterns including redundancy and failover|Monitors availability metrics against defined thresholds,"Look for: circuit breaker patterns, retry logic with backoff, graceful shutdown handlers, fallback service configs, autoscaling and multi-AZ in IaC.",circuit_breaker|retry|backoff|fallback|graceful_shutdown|resilience|redundancy|autoscaling|multi_az|health_probe|failover,source_code|config,CircuitBreaker|retry(maxAttempts|exponentialBackoff|process.on('SIGTERM')|gracefulShutdown|min_capacity: 2|multi_az: true|failover|HealthCheck|desired_capacity,"Check for retry/backoff on external calls, graceful shutdown signal handling, autoscaling config with min > 1, multi-AZ or redundancy flags in IaC.",medium,high
SOC2,CC9,CC9.2,Risk Mitigation,Vendor and Third-Party Risk Management,The entity assesses and manages risks associated with vendors and business partners. The entity establishes requirements for third parties and monitors their compliance with those requirements.,Establishes requirements for vendor and business partner security|Assesses vendor compliance with entity security requirements before engagement|Inventories third-party software components and their known vulnerabilities|Pins and locks third-party dependency versions to prevent supply chain attacks|Monitors for known-malicious or deprecated packages in dependency trees,"Look for: dependency manifest files (package.json, requirements.txt), pinned versions vs floating ranges, lock files committed to repo, third-party API call patterns, env-injected vendor credentials.",dependencies|third_party|vendor|package_json|requirements_txt|go_mod|lock_file|supply_chain|pinned_version|subprocessor,source_code|config,"package.json|requirements.txt|go.mod|Gemfile|package-lock.json|yarn.lock|""version"": ""^|dependencies:|VENDOR_KEY|third_party_api|pip freeze","Confirm lock files committed, versions are pinned or bounded, third-party credentials are env vars not hardcoded, no obvious deprecated packages.",high,medium
SOC2,A1,A1.1,Availability,Capacity and Performance Management,"The entity maintains, monitors, and evaluates current processing capacity and use of system components to manage capacity demand and to enable the implementation of additional capacity to help meet its objectives.",Measures current usage levels of system capacity to identify deviations from expected levels|Forecasts capacity needs to support future demand|Implements plans to increase capacity when demand approaches thresholds|Monitors performance and capacity metrics against defined baselines|Notifies relevant parties when capacity thresholds are approaching,"Look for: autoscaling configs, resource quota definitions, load balancer configs, health check and readiness probe definitions, performance threshold alerts in IaC.",autoscaling|capacity|scaling_policy|cpu_threshold|memory_limit|resource_quota|horizontal_pod_autoscaler|load_balancer|target_tracking,config,minReplicas|maxReplicas|targetCPUUtilizationPercentage|min_capacity|max_capacity|desired_capacity|ScaleOutPolicy|TargetValue|performance_threshold,"Confirm autoscaling config defines min/max replicas and CPU/memory thresholds, load balancer present, health probes configured for readiness and liveness.",medium,medium
SOC2,A1,A1.2,Availability,Environmental and Infrastructure Protections,"The entity authorizes, designs, develops or acquires environmental protection controls to meet availability commitments and system requirements.",Implements controls to protect against environmental threats including power loss and hardware failure|Deploys systems across multiple availability zones or regions for redundancy|Implements CDN or edge caching to improve availability under load|Maintains secondary infrastructure capable of assuming primary workload|Monitors environmental controls and infrastructure health continuously,"Look for: multi-region or multi-AZ deployment configs, database replica configs, CDN configs, redundant service definitions in IaC.",multi_az|multi_region|replica|read_replica|standby|cdn|redundancy|availability_zone|failover|rds_multi_az|secondary_region,config,multi_az: true|replica_region|availability_zones|read_replica|standby_instance|cdn_distribution|failover_routing|secondary_region|replication,"Confirm database has multi-AZ or replica config, deployment spans multiple AZs, CDN or failover routing configured in IaC.",medium,high
SOC2,A1,A1.3,Availability,"Backup, Restore, and Recovery Testing",The entity tests recovery plan procedures supporting system recovery to meet its availability commitments and system requirements.,Implements automated backup procedures for critical data and system configurations|Tests the completeness and integrity of backup data periodically|Documents and tests restoration procedures for all critical systems|Defines and tracks recovery time objectives and recovery point objectives|Maintains backup retention periods aligned to business recovery requirements,"Look for: backup retention configs in IaC (RDS, DynamoDB, Supabase), restore scripts, backup schedule definitions, PITR enablement, deletion protection.",backup|restore|snapshot|retention|pitr|point_in_time_recovery|backup_window|backup_retention_period|rto|rpo|deletion_protection,config,backup_retention_period: |preferred_backup_window|deletion_protection: true|pitr_enabled|snapshot_identifier|restore_from_snapshot|backup_schedule|RTO|RPO,"Confirm backup retention >= 7 days, PITR enabled on primary DB, deletion protection active in IaC.",medium,high
SOC2,PI1,PI1.1,Processing Integrity,Complete and Accurate Processing,"The entity obtains or generates, uses, and communicates relevant, quality information regarding the objectives related to processing, including definitions of data processed and product and service specifications.","Defines and documents processing inputs, outputs, and data schemas|Validates incoming API payloads against predefined schemas|Enforces type constraints and format requirements on all data inputs|Communicates processing errors clearly to upstream systems|Monitors processing completeness against defined success metrics","Look for: input schema validation (Pydantic, Joi, Zod, JSON Schema), request payload validation middleware, type enforcement at API boundaries.",schema_validation|pydantic|joi|zod|json_schema|validate|input_validation|type_check|request_body|payload_validation,source_code,pydantic.BaseModel|z.object|Joi.object|ajv.validate|@IsString|@IsEmail|validate(payload)|schema.parse|fastapi.Body|RequestValidator,"Confirm all API endpoints have schema validation on incoming payloads, type errors return 422/400 with structured error, validation is not bypassed in tests.",high,medium
SOC2,PI1,PI1.2,Processing Integrity,System Processing Commitments and Requirements,"The entity implements policies and procedures over system inputs, including those provided by customers and other external parties, to result in products, services, and reporting to meet the entity's objectives.",Implements atomicity controls to ensure multi-step operations complete fully or not at all|Uses database transactions to prevent partial data updates|Implements idempotency keys to prevent duplicate processing of critical operations|Detects and handles race conditions in concurrent data access|Logs all state transitions for critical processing operations,"Look for: database transaction logic, atomicity patterns (try/commit/rollback), idempotency key implementations, duplicate detection, optimistic locking.",transaction|atomic|commit|rollback|idempotency|idempotency_key|deduplication|optimistic_locking|db_transaction|select_for_update,source_code,db.transaction(|await session.commit()|BEGIN TRANSACTION|ROLLBACK|idempotency_key|checkIdempotency|ON CONFLICT DO NOTHING|select_for_update|atomic(,"Verify multi-step data operations use transactions, idempotency keys are checked before processing critical operations, rollback logic is present.",high,high
SOC2,PI1,PI1.3,Processing Integrity,Input Completeness and Accuracy Controls,"The entity implements controls over the completeness and accuracy of inputs to processing. Controls include data sanitization, injection prevention, and error handling for malformed inputs.",Validates completeness and accuracy of all processing inputs before use|Implements parameterized queries or ORM to prevent SQL injection|Sanitizes user-provided content before rendering to prevent XSS|Enforces input length and format constraints to prevent buffer and logic errors|Verifies file integrity using checksums for uploaded or transferred documents,"Look for: SQL injection prevention (parameterized queries/ORM), XSS sanitization, input length/format constraints, file upload validation and checksum verification.",sanitize|parameterized_query|orm|sql_injection|xss|dompurify|escape|checksum|sha256|file_validation|input_length|prepared_statement,source_code,"db.execute(query, params)|DOMPurify.sanitize|escape(|prisma.|sequelize.|sqlalchemy|maxLength|file.mimetype|calculateSHA256|verify_checksum|prepare(","Confirm ORM or parameterized queries for all DB calls (no raw string concat), XSS sanitization on user HTML content, file uploads validated for type and size.",high,high
SOC2,PI1,PI1.4,Processing Integrity,Output Processing and Error Disclosure Controls,"The entity implements policies and procedures to make available or deliver output completely, accurately, and timely in accordance with specifications to meet the entity's objectives. Controls include error masking to prevent internal information disclosure.","Delivers processing outputs that are complete, accurate, and timely|Masks or sanitizes error messages to prevent internal stack trace disclosure|Logs detailed errors internally while returning generic messages externally|Implements global error handling to catch and safely respond to unhandled exceptions|Monitors for unexpected output failures that may indicate processing errors","Look for: global error handler masking stack traces in API responses, generic 500 error message patterns, internal error logging distinct from external error responses.",error_handler|error_masking|generic_error|stack_trace|500_response|global_error|exception_handler|internal_error|sanitize_error,source_code,"catch(err){ return 'Internal Server Error'|app.use((err, req, res|statusCode: 500|message: 'Something went wrong'|sanitize_error|logger.error(err.stack)|global_exception","Confirm global error handler is registered, 500 responses return generic messages not stack traces, stack trace is logged internally but not returned to client.",high,medium
SOC2,PI1,PI1.5,Processing Integrity,Storage and Transmission Integrity Controls,"The entity implements policies and procedures to store and maintain information to meet the entity's objectives. Controls include checksums, hashing for stored sensitive values, and encryption at rest for protected fields.","Stores sensitive credentials using cryptographically strong hashing algorithms (Argon2, bcrypt)|Encrypts sensitive PII fields at the database or application layer|Enables at-rest encryption on all data storage services (databases, object storage)|Manages encryption keys through a dedicated key management service|Verifies integrity of stored data using checksums or hash comparisons","Look for: password hashing (bcrypt, Argon2, PBKDF2), field-level encryption for PII, at-rest encryption configs in IaC (storage_encrypted, SSE), KMS key management.",bcrypt|argon2|pbkdf2|hash|encrypt|field_encryption|storage_encrypted|server_side_encryption|sse|kms|aes_256|key_management,source_code|config,bcrypt.hash|argon2.hash|salt_rounds|encryptField|storage_encrypted: true|server_side_encryption_configuration|sse_algorithm: aws:kms|KMSMasterKeyID|AES256,"Confirm password fields use bcrypt/Argon2 not MD5/SHA1, sensitive PII is encrypted before storage, IaC enables at-rest encryption on DB and object storage.",high,critical
GDPR,Chapter II,Art.5.1c,Data Processing Principles,Data Minimization,"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed ('data minimisation'). Controllers must define and enforce minimum necessary data collection at the code level.",Collects only personal data fields necessary for the stated processing purpose|Avoids collecting optional fields that are not used in processing logic|Implements field-level access controls so internal services receive only necessary data|Documents the purpose for each personal data field collected|Removes or anonymizes personal data fields no longer needed for the original purpose,"Look for: data models/schemas that collect only necessary PII fields, API request/response objects that trim unnecessary personal data, data projection patterns (select specific columns), purpose-annotated field definitions.",data_minimization|pii|personal_data|field_selection|data_model|schema|purpose_limitation|select_fields|projection|minimal_fields,source_code,"select(['email', 'id'])|fields: ['name', 'email']|pii_fields|personal_data|data_class|@Column|@Field|schema.only|projection","Verify data model collects only stated necessary fields, API responses project minimal PII, no undocumented PII collection visible in schema or model definitions.",medium,high
GDPR,Chapter II,Art.5.1e,Data Processing Principles,Storage Limitation,Personal data shall be kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed ('storage limitation'). Controllers must implement and enforce retention periods.,Defines retention periods for each category of personal data|Implements automated deletion or anonymization of data when retention period expires|Maintains records of data categories and their associated retention schedules|Regularly reviews stored data to confirm continued necessity|Ensures backup and archive systems also respect retention periods,"Look for: retention period constants, scheduled deletion/anonymization jobs, created_at + TTL patterns, soft-delete with expiry, data purge cron jobs.",retention|retention_period|data_retention|purge|ttl|scheduled_deletion|anonymize|expiry|data_lifecycle|cron_delete|soft_delete,source_code|config,RETENTION_DAYS|retention_period|deleteAfter|TTL|purge_old_records|anonymize_expired|cron|scheduled_task|expires_at|soft_delete,"Confirm retention period constants are defined in code, automated deletion or anonymization jobs exist, expiry/TTL fields are present on personal data tables.",high,high
GDPR,Chapter II,Art.5.1f,Data Processing Principles,Integrity and Confidentiality of Personal Data,"Personal data shall be processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures ('integrity and confidentiality').",Implements access controls restricting personal data to authorized processors only|Encrypts personal data at rest and in transit|Logs all access and modifications to personal data for auditability|Implements input validation to prevent corruption of personal data|Protects personal data processing systems against unauthorized modification,"Look for: access controls on PII data endpoints, encryption of PII fields in storage, audit logging on personal data reads/writes, input validation on personal data fields.",pii_access_control|encrypt_pii|audit_pii|personal_data_log|integrity|confidentiality|data_protection|access_pii|secure_processing,source_code|config,authorize_pii|encrypt_field|pii_log|personal_data_access|audit_trail|checkPermission|encryptPII|mask_pii|data_access_log,"Verify PII endpoints are gated behind auth and role checks, PII fields are encrypted at rest, access to personal data is audit-logged with user identity.",high,critical
GDPR,Chapter IV,Art.25.1,Privacy by Design and Default,Data Protection by Design,"Taking into account the state of the art and costs of implementation, the controller shall implement appropriate technical and organisational measures designed to implement data-protection principles (such as data minimisation) in an effective manner and to integrate the necessary safeguards into the processing.","Integrates data protection controls into system architecture from the design stage, not as a retrofit|Implements pseudonymisation or tokenization of personal identifiers where functionally possible|Applies data minimization in data model design, collecting only necessary fields|Designs APIs to return minimal personal data appropriate to the consumer's role|Implements privacy-preserving patterns (separate PII stores, tokenization) in data architecture","Look for: pseudonymization patterns, tokenization of PII, separation of identity store from behavioural data, PII-stripped API response shaping, privacy-annotated data models.",pseudonymization|tokenization|pii_separation|privacy_by_design|data_architecture|pii_token|hash_identifier|anonymize|data_model_privacy,source_code,pseudonymize|tokenize|pii_token|hash_user_id|anonymize|separate_pii|identity_store|pii_free|strip_pii|mask_identifier,"Confirm pseudonymization or tokenization is applied to personal identifiers, PII is not unnecessarily propagated through system layers, API responses minimize personal data returned.",medium,high
GDPR,Chapter IV,Art.25.2,Privacy by Design and Default,Data Protection by Default,"The controller shall implement appropriate technical and organisational measures for ensuring that, by default, only personal data which are necessary for each specific purpose of the processing are processed. This applies to the amount of data collected, extent of processing, period of storage, and accessibility.",Configures system defaults to collect minimum personal data rather than requiring users to opt out|Disables optional personal data fields and analytics by default unless user actively consents|Restricts data accessibility to only the internal services that require it for their function|Implements consent-gated data collection where processing relies on consent as a legal basis|Defaults data sharing and third-party integrations to disabled unless explicitly enabled,"Look for: opt-in vs opt-out defaults in feature flags, consent checks before analytics/tracking code, default privacy settings, minimal-by-default API field exposure.",consent|opt_in|opt_out|privacy_default|default_settings|tracking_consent|analytics_consent|feature_flag|gdpr_consent|data_collection_flag,source_code|config,consent_required|hasConsent|opt_in: false|analytics_enabled: false|tracking: false|GDPR_CONSENT|privacy_mode|collect_analytics: false|consent_check,"Confirm analytics/tracking defaults to disabled, consent is checked before any personal data collection, feature flags for optional data collection default to off.",high,high
GDPR,Chapter IV,Art.32.1a,Security of Processing,Pseudonymisation and Encryption of Personal Data,"The controller and processor shall implement appropriate technical measures to ensure a level of security appropriate to the risk, including the pseudonymisation and encryption of personal data.",Encrypts personal data at rest using AES-256 or equivalent strong encryption|Encrypts personal data in transit using TLS 1.2 or higher|Applies pseudonymisation to personal identifiers where full identification is not required for processing|Manages encryption keys separately from the encrypted data|Implements database-level or field-level encryption for sensitive personal data columns,"Look for: field-level encryption on PII columns, encryption at rest in IaC (storage_encrypted, SSE), TLS enforcement configs, password hashing with bcrypt/Argon2, pseudonymization of identifiers.",encrypt_pii|field_encryption|aes_256|storage_encrypted|tls|ssl|bcrypt|argon2|pseudonymize|kms|sse|encrypt_at_rest,source_code|config,encryptPII|storage_encrypted: true|AES256|bcrypt.hash|argon2.hash|minVersion: TLSv1.2|sslmode=require|KMSMasterKeyID|pseudonymize|sse_algorithm,"Verify PII fields encrypted at rest in IaC, TLS enforced on all connections, passwords hashed with strong algorithm, no plaintext PII in database column definitions.",high,critical
GDPR,Chapter IV,Art.32.1b,Security of Processing,"Confidentiality, Integrity, Availability and Resilience","The controller and processor shall implement measures to ensure the ongoing confidentiality, integrity, availability and resilience of processing systems and services handling personal data.",Implements access controls ensuring only authorized users can read or modify personal data|Maintains audit logs of all access and modifications to personal data processing systems|Implements redundancy and failover to ensure continued availability of personal data systems|Tests system resilience periodically to confirm recovery objectives are achievable|Monitors personal data processing systems for availability and integrity anomalies,"Look for: access controls on PII APIs, audit logging on data access, multi-AZ or replica configs for databases holding PII, health check endpoints, integrity check patterns.",confidentiality|integrity|availability|resilience|pii_audit|access_log|multi_az|replica|health_check|data_integrity|availability_monitor,source_code|config,audit_log|access_log|multi_az: true|read_replica|health_check|data_integrity_check|availability_zone|pii_access_audit|checksum|replication,"Confirm audit logging on all PII data access paths, redundancy config (multi-AZ/replica) on database holding PII, health check endpoint reflects system integrity.",high,high
